"taxon","assembly","segment","species","collectionDate","geographicRegion","organismName_host","subtype","genotype","serotype","lineage","clade","HA_type","NA_type","neighbor","neighbor_ani","n_raw","n_qc"
"Alphacoronavirus","references/Alphacoronavirus-wg-119.fa.gz","wg","Alphacoronavirus sp.","2013","Asia","Myotis pilosus","","","","","","","","Alphacoronavirus-wg-117","93","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-120.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","Myotis petax","","","","","","","","Alphacoronavirus-wg-117","90","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-199.fa.gz","wg","Jingmen Myotis ricketti alphacoronavirus 1","2016","Asia","Myotis ricketti","","","","","","","","Alphacoronavirus-wg-57","92","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-121.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","Rhinolophus sinicus","","","","","","","","Alphacoronavirus-wg-36","98","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-122.fa.gz","wg","Alphacoronavirus sp.","2021","Asia","Rhinolophus affinis","","","","","","","","Alphacoronavirus-wg-121","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-109.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","[Rhinolophus stheno; Myotis laniger]","","","","","","","","Alphacoronavirus-wg-115","97","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-3.fa.gz","wg","[Alphacoronavirus sp.; Swine acute diarrhea syndrome coronavirus; Rhinolophus bat coronavirus HKU2; Swine enteric alphacoronavirus]","2016 - 2023","Asia","[Rhinolophus affinis; Sus scrofa]","","","","","","","","Alphacoronavirus-wg-121","98","64","42"
"Alphacoronavirus","references/Alphacoronavirus-wg-123.fa.gz","wg","Rhinacovirus sp.","2022","Asia","Rhinolophus thomasi","","","","","","","","Alphacoronavirus-wg-209","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-124.fa.gz","wg","Alphacoronavirus sp.","2022","Asia","Rattus tanezumi","","","","","","","","Alphacoronavirus-wg-142","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-2.fa.gz","wg","Porcine epidemic diarrhea virus","2011 - 2024","[Asia; North America; South America; Europe]","[Sus scrofa; Sus scrofa domesticus]","","","","","","","","Alphacoronavirus-wg-73","97","308","301"
"Alphacoronavirus","references/Alphacoronavirus-wg-209.fa.gz","wg","Alphacoronavirus sp.","2022","Asia","Rhinolophus sinicus","","","","","","","","Alphacoronavirus-wg-123","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-21.fa.gz","wg","Bat coronavirus HKU10","2005 - 2010","Asia","Chiroptera","","","","","","","","Alphacoronavirus-wg-26","98","6","6"
"Alphacoronavirus","references/Alphacoronavirus-wg-27.fa.gz","wg","Hipposideros pomona bat coronavirus HKU10-related","2018","Asia","Hipposideros pomona","","","","","","","","Alphacoronavirus-wg-105","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-28.fa.gz","wg","Alphacoronavirus 1","2019","Asia","Vulpes","","","","","","","","[Alphacoronavirus-wg-132; Alphacoronavirus-wg-173]","97","11","11"
"Alphacoronavirus","references/Alphacoronavirus-wg-29.fa.gz","wg","Alphacoronavirus 1","2010","Europe","Felis catus","","","","","","","","Alphacoronavirus-wg-191","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-44.fa.gz","wg","Miniopterus schreibersii bat coronavirus 1-related","2018","Asia","Miniopterus schreibersii","","","","","","","","Alphacoronavirus-wg-34","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-45.fa.gz","wg","Alphacoronavirus sp.","2012 - 2013","Asia","Miniopterus pusillus","","","","","","","","Alphacoronavirus-wg-176","98","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-176.fa.gz","wg","Alphacoronavirus sp.","2013","Asia","Miniopterus pusillus","","","","","","","","Alphacoronavirus-wg-45","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-58.fa.gz","wg","Alphacoronavirus 1","2017","Oceania","Felis catus","","","","","","","","Alphacoronavirus-wg-83","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-61.fa.gz","wg","Mink coronavirus","2018","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-98","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-73.fa.gz","wg","Porcine epidemic diarrhea virus","1978 - 2022","[Europe; Asia]","Sus scrofa","","","","","","","","Alphacoronavirus-wg-65","98","21","21"
"Alphacoronavirus","references/Alphacoronavirus-wg-116.fa.gz","wg","Porcine epidemic diarrhea virus","","Europe","","","","","","","","","Alphacoronavirus-wg-73","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-72.fa.gz","wg","Miniopterus bat coronavirus HKU8","2012 - 2013","Asia","Miniopterus fuliginosus","","","","","","","","Alphacoronavirus-wg-55","93","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-37.fa.gz","wg","Rhinolophus bat coronavirus HKU32","2015 - 2022","Asia","[Rhinolophus affinis; Rhinolophus pusillus; Rhinolophus sinicus]","","","","","","","","Alphacoronavirus-wg-12","95","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-200.fa.gz","wg","[Alphacoronavirus sp.; Alphacoronavirus WA3607]","2018","Oceania","","","","","","","","","","0","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-126.fa.gz","wg","Alphacoronavirus 1","2008","Asia","Canis lupus familiaris","","","","","","","","Alphacoronavirus-wg-132","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-127.fa.gz","wg","Alphacoronavirus 1","2017","[Asia; North America]","Homo sapiens","","","","","","","","Alphacoronavirus-wg-10","96","3","3"
"Alphacoronavirus","references/Alphacoronavirus-wg-201.fa.gz","wg","Ferret coronavirus","2010","Europe","Mustela putorius","","","","","","","","[Alphacoronavirus-wg-98; Alphacoronavirus-wg-6; Alphacoronavirus-wg-61]","90","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-128.fa.gz","wg","Alphacoronavirus Mink/China/1/2016","2016","Asia","Mustela lutreola","","","","","","","","[Alphacoronavirus-wg-170; Alphacoronavirus-wg-168]","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-129.fa.gz","wg","Mink coronavirus strain WD1133","1998","North America","Neogale vison","","","","","","","","Alphacoronavirus-wg-130","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-130.fa.gz","wg","Mink coronavirus 1","1998","North America","Neogale vison","","","","","","","","Alphacoronavirus-wg-129","96","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-131.fa.gz","wg","Alphacoronavirus 1","","","","","","","","","","","Alphacoronavirus-wg-134","96","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-202.fa.gz","wg","Alphacoronavirus 1","2003","Europe","","","","","","","","","Alphacoronavirus-wg-23","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-203.fa.gz","wg","Raccoon dog acute diarrhea syndrome coronavirus","2018","Asia","Nyctereutes procyonoides","","","","","","","","Alphacoronavirus-wg-132","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-132.fa.gz","wg","Alphacoronavirus 1","2020","[Asia; Europe]","[Nyctereutes procyonoides; Canis lupus familiaris]","","","","","","","","Alphacoronavirus-wg-28","97","3","3"
"Alphacoronavirus","references/Alphacoronavirus-wg-204.fa.gz","wg","Alphacoronavirus 1","2016","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-134","94","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-205.fa.gz","wg","Alphacoronavirus 1","2018","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-136","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-134.fa.gz","wg","Alphacoronavirus 1","1971 - 2023","[North America; Asia; Europe]","[Felis catus; Canis lupus familiaris]","","","","","","","","Alphacoronavirus-wg-131","96","15","14"
"Alphacoronavirus","references/Alphacoronavirus-wg-206.fa.gz","wg","Alphacoronavirus 1","2006","Europe","Felis catus","","","","","","","","[Alphacoronavirus-wg-96; Alphacoronavirus-wg-95; Alphacoronavirus-wg-94; Alphacoronavirus-wg-190; Alphacoronavirus-wg-86]","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-207.fa.gz","wg","Alphacoronavirus 1","2017","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-208","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-135.fa.gz","wg","Alphacoronavirus 1","2012","Europe","Felis catus","","","","","","","","Alphacoronavirus-wg-114","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-104.fa.gz","wg","Alphacoronavirus 1","2007","Europe","Felis catus","","","","","","","","[Alphacoronavirus-wg-94; Alphacoronavirus-wg-208; Alphacoronavirus-wg-136]","95","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-136.fa.gz","wg","Alphacoronavirus 1","2018","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-16","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-137.fa.gz","wg","Alphacoronavirus 1","","","","","","","","","","","Alphacoronavirus-wg-148","95","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-138.fa.gz","wg","Alphacoronavirus 1","2018","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-86","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-139.fa.gz","wg","Alphacoronavirus 1","2006 - 2016","North America","","","","","","","","","Alphacoronavirus-wg-101","98","15","15"
"Alphacoronavirus","references/Alphacoronavirus-wg-140.fa.gz","wg","Alphacoronavirus 1","1986 - 2012","Europe","Sus scrofa","","","","","","","","Alphacoronavirus-wg-8","97","5","5"
"Alphacoronavirus","references/Alphacoronavirus-wg-101.fa.gz","wg","Alphacoronavirus 1","2014 - 2020","North America","Sus scrofa","","","","","","","","Alphacoronavirus-wg-139","98","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-141.fa.gz","wg","Alphacoronavirus 1","2007","Asia","Felis catus","","","","","","","","[Alphacoronavirus-wg-134; Alphacoronavirus-wg-132]","95","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-208.fa.gz","wg","Alphacoronavirus 1","","North America","","","","","","","","","Alphacoronavirus-wg-207","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-142.fa.gz","wg","Lucheng Rn rat coronavirus","2013 - 2014","Asia","Rattus norvegicus","","","","","","","","Alphacoronavirus-wg-187","97","3","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-143.fa.gz","wg","Alphacoronavirus 1","2021","Asia","Nyctereutes procyonoides","","","","","","","","Alphacoronavirus-wg-132","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-144.fa.gz","wg","Coronavirus AcCoV-JC34","2011","Asia","Apodemus chevrieri","","","","","","","","Alphacoronavirus-wg-216","97","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-145.fa.gz","wg","[Alphacoronavirus sp.; Alphacoronavirus WA1087]","2018","Oceania","","","","","","","","","","0","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-210.fa.gz","wg","[Bat alphacoronavirus; Alphacoronavirus AMALF]","2015","South America","Desmodus rotundus","","","","","","","","","0","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-211.fa.gz","wg","Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010","2010","Europe","Pipistrellus kuhlii","","","","","","","","Alphacoronavirus-wg-20","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-146.fa.gz","wg","Tadarida brasiliensis bat alphacoronavirus 2","2016 - 2017","South America","Tadarida brasiliensis","","","","","","","","","0","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-147.fa.gz","wg","Alphacoronavirus 1","2018","Oceania","Felis catus","","","","","","","","Alphacoronavirus-wg-25","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-148.fa.gz","wg","Alphacoronavirus 1","2013","Europe","Felis catus","","","","","","","","Alphacoronavirus-wg-14","96","6","6"
"Alphacoronavirus","references/Alphacoronavirus-wg-149.fa.gz","wg","Mink coronavirus","2018","Europe","Neogale vison","","","","","","","","[Alphacoronavirus-wg-170; Alphacoronavirus-wg-168; Alphacoronavirus-wg-160]","95","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-47.fa.gz","wg","Alphacoronavirus 1","2009 - 2019","Europe","Sus scrofa","","","","","","","","Alphacoronavirus-wg-140","95","5","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-76.fa.gz","wg","Alphacoronavirus sp.","2013 - 2020","Asia","Rhinolophus affinis","","","","","","","","Alphacoronavirus-wg-12","91","3","3"
"Alphacoronavirus","references/Alphacoronavirus-wg-150.fa.gz","wg","Ferret coronavirus","2016","Asia","Mustela putorius furo","","","","","","","","Alphacoronavirus-wg-6","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-151.fa.gz","wg","Ferret coronavirus","2013","Asia","Mustela putorius furo","","","","","","","","Alphacoronavirus-wg-6","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-152.fa.gz","wg","Ferret coronavirus","2021","Europe","Mustela erminea","","","","","","","","Alphacoronavirus-wg-151","89","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-212.fa.gz","wg","Bat alphacoronavirus","2019","Europe","Myotis myotis","","","","","","","","Alphacoronavirus-wg-186","90","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-213.fa.gz","wg","Rhinacovirus sp.","2022","Asia","Rhinolophus pusillus","","","","","","","","Alphacoronavirus-wg-123","90","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-214.fa.gz","wg","Pedacovirus sp. PpiGB01","2021","Europe","Myotis daubentonii","","","","","","","","Alphacoronavirus-wg-39","91","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-155.fa.gz","wg","Alphacoronavirus sp.","2019 - 2020","Asia","[Hipposideros pomona; Rhinolophus malayanus]","","","","","","","","Alphacoronavirus-wg-100","97","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-13.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","[Rhinolophus stheno; Rhinolophus malayanus; Murina cyclotis]","","","","","","","","Alphacoronavirus-wg-12","91","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-12.fa.gz","wg","Alphacoronavirus sp.","2019 - 2020","Asia","[Myotis muricola; Rhinolophus sinicus; Rhinolophus malayanus; Hipposideros cineraceus]","","","","","","","","Alphacoronavirus-wg-37","95","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-215.fa.gz","wg","Alphacoronavirus 1","2021","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-106","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-216.fa.gz","wg","Lucheng Rn rat coronavirus","2015","Asia","Apodemus chevrieri","","","","","","","","Alphacoronavirus-wg-144","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-156.fa.gz","wg","Alphacoronavirus CHB25","2018","Asia","Hipposideros larvatus","","","","","","","","[Alphacoronavirus-wg-53; Alphacoronavirus-wg-66]","90","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-217.fa.gz","wg","Pedacovirus sp. MdGB01","2020","Europe","Myotis daubentonii","","","","","","","","Alphacoronavirus-wg-163","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-218.fa.gz","wg","Alphacoronavirus sp.","2013","Asia","Myotis pilosus","","","","","","","","Alphacoronavirus-wg-74","90","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-157.fa.gz","wg","Jingmen Myotis chinensis alphacoronavirus 1","2016","Asia","Myotis chinensis","","","","","","","","Alphacoronavirus-wg-33","95","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-158.fa.gz","wg","Alphacoronavirus sp.","2013","Asia","Myotis chinensis","","","","","","","","Alphacoronavirus-wg-33","94","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-159.fa.gz","wg","Mink coronavirus","2019","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-128","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-219.fa.gz","wg","Mink coronavirus","2019","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-68","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-160.fa.gz","wg","Mink coronavirus","2019","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-170","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-161.fa.gz","wg","Mink coronavirus 1","2015","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-168","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-220.fa.gz","wg","Alphacoronavirus 1","2020","Europe","Canis lupus familiaris","","","","","","","","Alphacoronavirus-wg-84","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-98.fa.gz","wg","Mink coronavirus","2018","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-68","97","4","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-162.fa.gz","wg","Mink coronavirus 1","2015","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-128","95","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-6.fa.gz","wg","Ferret coronavirus","2015","North America","Mustela putorius furo","","","","","","","","Alphacoronavirus-wg-150","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-7.fa.gz","wg","Ferret coronavirus","2015","North America","Mustela putorius furo","","","","","","","","Alphacoronavirus-wg-6","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-10.fa.gz","wg","Alphacoronavirus 1","2016","Asia","Canis lupus familiaris","","","","","","","","Alphacoronavirus-wg-102","97","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-163.fa.gz","wg","Pedacovirus sp. MdGB02","2021","Europe","Myotis daubentonii","","","","","","","","[Alphacoronavirus-wg-217; Alphacoronavirus-wg-183]","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-32.fa.gz","wg","Alphacoronavirus sp.","2014","Asia","Scotophilus kuhlii","","","","","","","","Alphacoronavirus-wg-19","98","6","6"
"Alphacoronavirus","references/Alphacoronavirus-wg-164.fa.gz","wg","Alphacoronavirus 1","2018","Oceania","Felis catus","","","","","","","","Alphacoronavirus-wg-25","98","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-165.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","Hipposideros larvatus","","","","","","","","","0","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-15.fa.gz","wg","Alphacoronavirus HKU33","2015","Asia","Tylonycteris robustula","","","","","","","","","0","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-54.fa.gz","wg","Wencheng Sm shrew coronavirus","2015","Asia","Suncus murinus","","","","","","","","Alphacoronavirus-wg-196","90","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-16.fa.gz","wg","Alphacoronavirus 1","2007","Europe","Felis catus","","","","","","","","Alphacoronavirus-wg-136","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-17.fa.gz","wg","Alphacoronavirus 1","2020","North America","Felis margarita","","","","","","","","Alphacoronavirus-wg-94","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-166.fa.gz","wg","Alphacoronavirus 1","2002","North America","Felis catus","","","","","","","","Alphacoronavirus-wg-208","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-18.fa.gz","wg","Alphacoronavirus 1","1993 - 2013","[North America; Europe]","Felis catus","","","","","","","","Alphacoronavirus-wg-191","96","12","12"
"Alphacoronavirus","references/Alphacoronavirus-wg-19.fa.gz","wg","Alphacoronavirus sp.","2014","Asia","Scotophilus kuhlii","","","","","","","","Alphacoronavirus-wg-32","98","5","5"
"Alphacoronavirus","references/Alphacoronavirus-wg-20.fa.gz","wg","Pipistrellus kuhlii coronavirus 3398","2015","Europe","Pipistrellus kuhlii","","","","","","","","Alphacoronavirus-wg-211","97","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-167.fa.gz","wg","Eptesicus bat coronavirus","2021","North America","Eptesicus fuscus","","","","","","","","[Alphacoronavirus-wg-188; Alphacoronavirus-wg-178]","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-22.fa.gz","wg","Rousettus aegyptiacus bat coronavirus 229E-related","2018","Africa","Rousettus aegyptiacus","","","","","","","","Alphacoronavirus-wg-52","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-23.fa.gz","wg","Alphacoronavirus 1","2020","Asia","Rhizomys sinensis","","","","","","","","Alphacoronavirus-wg-132","97","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-24.fa.gz","wg","NL63-related bat coronavirus strain BtKYNL63-9b","2010","Africa","Triaenops afer","","","","","","","","","0","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-168.fa.gz","wg","Minacovirus mink/NLD/2020/NT_4","2020","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-128","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-25.fa.gz","wg","Alphacoronavirus 1","2017","Oceania","Felis catus","","","","","","","","Alphacoronavirus-wg-164","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-96.fa.gz","wg","Alphacoronavirus 1","2008","Europe","[Felis catus; Feliformia]","","","","","","","","Alphacoronavirus-wg-94","96","3","3"
"Alphacoronavirus","references/Alphacoronavirus-wg-169.fa.gz","wg","Alphacoronavirus 1","2010","Europe","Felis catus","","","","","","","","[Alphacoronavirus-wg-94; Alphacoronavirus-wg-77]","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-170.fa.gz","wg","Mink coronavirus","2019","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-128","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-31.fa.gz","wg","Mink coronavirus","2019","Europe","Neogale vison","","","","","","","","Alphacoronavirus-wg-170","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-60.fa.gz","wg","[Coronavirus BtSk-AlphaCoV/GX2018D; Alphacoronavirus scotophili; Coronavirus BtSk-AlphaCoV/GX2018A; Coronavirus BtSk-AlphaCoV/GX2018B]","2017","Asia","Scotophilus kuhlii","","","","","","","","Alphacoronavirus-wg-11","98","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-33.fa.gz","wg","Myotis ricketti alphacoronavirus Sax-2011","2011","Asia","Myotis ricketti","","","","","","","","Alphacoronavirus-wg-157","95","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-34.fa.gz","wg","Miniopterus bat coronavirus 1","","Asia","","","","","","","","","Alphacoronavirus-wg-189","98","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-35.fa.gz","wg","Miniopterus bat coronavirus 1","","Asia","","","","","","","","","Alphacoronavirus-wg-45","97","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-36.fa.gz","wg","Rhinolophus bat coronavirus HKU2","","","","","","","","","","","Alphacoronavirus-wg-121","98","5","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-38.fa.gz","wg","[Coronavirus BtRs-AlphaCoV/YN2018; Alphacoronavirus sp.]","2017 - 2020","Asia","[Cynopterus sphinx; Hipposideros larvatus; Rhinolophus sinicus]","","","","","","","","Alphacoronavirus-wg-76","89","3","3"
"Alphacoronavirus","references/Alphacoronavirus-wg-39.fa.gz","wg","Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011","2011","Europe","Pipistrellus kuhlii","","","","","","","","Alphacoronavirus-wg-214","91","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-40.fa.gz","wg","NL63-related bat coronavirus strain BtKYNL63-9b","2008","Africa","Triaenops afer","","","","","","","","Alphacoronavirus-wg-85","98","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-173.fa.gz","wg","Alphacoronavirus 1","2019","Asia","Vulpes","","","","","","","","Alphacoronavirus-wg-28","97","2","2"
"Alphacoronavirus","references/Alphacoronavirus-wg-174.fa.gz","wg","Alphacoronavirus 1","2021","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-42","96","1","1"
